"f_dying","bias_cyfer","bias_naive","bias_oracle","cor_cyfer","cor_naive","cor_oracle","cor_fate","mean_adapt_cyfer","mean_adapt_naive","mean_adapt_oracle","mean_adapt_true"
0.25,1.55428958553036,1.27477631263226,0.00893137773622607,0.0131106114925258,0.87487191360295,0.967251910484546,-0.240405973864541,3.28614108770858,3.00662781481049,1.74078287991445,1.73185150217822
0.25,2.31370103039134,1.26780534917609,0.00924749931954308,-0.0767972069722906,0.851887076763023,0.988102622382591,-0.720269982333493,4.04226229414354,2.99636661292829,1.73780876307175,1.7285612637522
0.25,1.08351140606749,1.27614795815994,0.00399652537319968,-0.172458494931287,0.824566562171603,0.984479482678396,0.271058887224715,2.82733709856428,3.01997365065673,1.74782221786999,1.74382569249679
0.25,1.56978476212786,1.27725584883746,0.00650649847190481,0.508558979777214,0.864197676777159,0.976210205675101,-0.346501881549392,3.30538991897965,3.01286100568925,1.74211165532369,1.73560515685179
0.5,4.1354584237479,2.55933107916947,0.0257634549959455,-0.0270614404509622,0.633930324944949,0.970623778743718,-0.67654450526453,5.85533610536934,4.27920876079092,1.74564113661739,1.71987768162145
0.5,1.51551196405396,2.55175320595001,0.0137934103750388,0.43087880629343,0.781237083983224,0.990243120783445,0.679702713504049,3.23777193409939,4.27401317599544,1.73605338042047,1.72225997004543
0.5,3.14720686527687,2.54731861363527,0.0218594653182196,0.0611632803538481,0.574363705471899,0.977165886898504,-0.507682815747501,4.87851511297933,4.27862686133773,1.75316771302068,1.73130824770246
0.5,2.84278139015192,2.55482623281213,0.019223164626806,0.0163796661335516,0.488087387576436,0.953974970861621,-0.331517668042024,4.56774168726912,4.27978652992933,1.74418346174401,1.7249602971172
0.5,2.61925730237056,2.54965606418723,0.0178369298317215,0.125878151872312,0.650298570610943,0.979092000400616,-0.0872433891367764,4.3421442058467,4.27254296766337,1.74072383330786,1.72288690347614
0.5,1.71819244347355,2.5497943684542,0.0203251614769583,0.190997406996653,0.651270630508805,0.981229534952826,0.702376550398782,3.44867321003633,4.28027513501698,1.75080592803974,1.73048076656278
0.5,3.43246106248268,2.54296344517607,0.0205453535153329,-0.158264711557438,0.638617927341365,0.952640078885936,-0.682836844791672,5.17038052326991,4.28088290596331,1.75846481430257,1.73791946078724
0.5,2.72893954502744,2.56117584247156,0.0241763425608365,0.454408286063572,0.759824886703625,0.965419078907036,-0.221998709845894,4.43891930694948,4.27115560439361,1.73415610448288,1.70997976192205
0.5,1.96969188443098,2.54564969527288,0.0248734102911586,0.442337962660112,0.827402120663926,0.98631936437593,0.555244429363917,3.70796101219581,4.28391882303772,1.76314253805599,1.73826912776483
0.5,1.16705212257508,2.54022121296588,0.0191138228563557,0.472481882553272,0.709752894908278,0.959821017196614,0.771316786876871,2.89162988800748,4.26479897839828,1.74369158828875,1.7245777654324
0.75,4.16749460859938,3.82319446763592,0.0568155021262958,-0.0254029339567,0.435167389920693,0.950792168400217,-0.326163165502142,5.90097558550639,5.55667544454292,1.7902964790333,1.73348097690701
0.75,1.21126706402804,3.82023827242446,0.0620279282653253,0.0539825401790452,0.537912236166544,0.968067867769787,0.855259875317933,2.93622746962705,5.54519867802346,1.78698833386433,1.72496040559901
0.75,4.24135456570006,3.82271926744284,0.057681970166907,0.511715391208954,0.608667912243914,0.94848340373225,-0.485197985770823,5.96292694727462,5.5442916490174,1.77925435174147,1.72157238157456
0.75,1.76966100524813,3.81565233248939,0.0649670145270076,0.0623221468263551,0.489301148864821,0.964379219641942,0.725818719196268,3.5109559999664,5.55694732720766,1.80626200924527,1.74129499471826
0.75,1.59656250579774,3.81661792996198,0.0620824237843846,0.395847850033413,0.343162925439522,0.897092806138243,0.569703147879646,3.33466746041905,5.55472288458329,1.80018737840569,1.73810495462131
0.75,2.04809064397742,3.8317313147458,0.0556115016237032,0.298112127764876,0.448357425449958,0.965670962124373,0.581040887790138,3.7746777001643,5.55831837093268,1.78219855781058,1.72658705618688
